fund_symbol,price_date,open,high,low,close,adj_close,volume
AADR,12/14/15,38.45,38.45,37.56,37.74,36.51,1300
AADR,12/15/15,38.09,38.37,37.93,37.93,36.7,6200
AADR,12/16/15,38.77,39.09,38.43,38.5,37.25,7300
AADR,12/17/15,38.32,38.32,38.29,38.29,37.05,700
AADR,12/18/15,38.18,38.18,38.18,38.18,36.94,300
AADR,12/21/15,37.72,37.72,37.72,37.72,36.5,1000
AADR,12/22/15,38.07,38.62,37.95,38.55,37.3,4400
AADR,12/23/15,38.86,38.9,38.45,38.88,37.62,5900
AADR,12/24/15,39.18,39.24,39,39,37.74,400
AADR,12/28/15,38.73,38.84,38.4,38.4,37.16,1500
AADR,12/29/15,38.96,39.29,38.96,39.08,37.82,800
AADR,12/30/15,38.94,38.94,38.88,38.88,37.62,400
AADR,12/31/15,38.53,38.53,38.53,38.53,37.28,300
AADR,1/4/16,40.44,40.44,37.56,37.71,36.49,3900
AADR,1/5/16,37.71,37.8,37.71,37.71,36.49,4200
AADR,1/6/16,37.48,37.48,36.93,37.14,35.94,1300
AADR,1/7/16,37.14,37.14,37.14,37.14,35.94,0
AADR,1/8/16,37.14,37.14,37.14,37.14,35.94,0
AADR,1/11/16,35.76,35.76,35.57,35.57,34.42,500
AADR,1/12/16,36.34,36.34,35.83,36.1,34.93,8800
AADR,1/13/16,35.12,35.12,35.12,35.12,33.99,200
AADR,1/14/16,35.1,35.67,34.92,35.67,34.52,86400
AADR,1/15/16,34.83,34.83,34.72,34.72,33.6,300
AADR,1/19/16,35.08,35.29,34.99,35.02,33.89,10000
AADR,1/20/16,34.2,34.49,33.98,34.49,33.38,5200
AADR,1/21/16,35.32,35.32,34.63,34.84,33.71,1000
AADR,1/22/16,35.6,35.85,35.6,35.85,34.69,800
AADR,1/25/16,35.85,35.85,35.85,35.85,34.69,0
AADR,1/26/16,35.9,35.9,35.9,35.9,34.74,200
AADR,1/27/16,35.9,35.95,35.83,35.95,34.79,5000
AADR,1/28/16,35.75,35.76,35.46,35.76,34.6,800
AADR,1/29/16,36.15,36.17,35.66,36.08,34.91,10400
AADR,2/1/16,36.24,36.64,36.24,36.37,35.19,16600
AADR,2/2/16,36.26,36.27,35.71,36.13,34.96,14800
AADR,2/3/16,36,36.34,35.72,36.25,35.08,18000
AADR,2/4/16,36.27,36.27,36.14,36.14,34.97,700
AADR,2/5/16,35.82,35.96,35.82,35.9,34.74,4900
AADR,2/8/16,35.07,35.37,34.96,35.37,34.23,5700
AADR,2/9/16,34.75,34.75,34.75,34.75,33.63,200
AADR,2/10/16,35.05,35.05,34.86,34.89,33.76,1100
AADR,2/11/16,34.32,34.35,34.31,34.35,33.24,1300
AADR,2/12/16,34.71,34.96,34.71,34.96,33.83,1000
AADR,2/16/16,35.47,35.94,35.47,35.52,34.37,6600
AADR,2/17/16,36.36,36.61,36.23,36.48,35.3,40100
